X,Y,Z,M
28.263141,3.59225,-9.398,3.263406085
28.379281,3.619712,-9.167,4.357416111
28.35644,3.467614,-12.305,2.573589329
28.351284,3.615661,-11.57,2.970119551
28.357585,3.619155,-10.153,2.966919817
28.395124,3.621222,-3.485,2.708753443
28.382494,3.614918,-7.155,2.469480206
28.258822,3.544914,-9.371,2.47450042
28.374574,3.624902,-7.136,2.646643932
28.251615,3.604757,-9.836,2.505827166
28.383251,3.61294,-9.383,2.719122716
28.418842,3.62127,-2.524,2.866402798
28.389249,3.596481,-13.111,2.7469568
28.390328,3.6194,-5.103,2.622989546
28.246213,3.601497,-11.491,4.682534982
28.249011,3.603464,-9.93,3.306824616
28.259542,3.601708,-9.493,2.721475316
28.258471,3.604185,-9.583,2.512303602
28.254638,3.601179,-9.362,2.337998829
28.380974,3.619139,-7.456,2.629082662
28.381402,3.623953,-7.277,2.733341084
28.370637,3.445703,-9.571,3.806035536
28.361482,3.616385,-7.957,2.93771669
28.240515,3.609247,-10.249,2.608448408
28.361056,3.56579,-11.15,2.785439496
28.42208,3.614651,-8.489,3.159319995
28.25498,3.60501,-9.285,2.434546995
28.370755,3.614477,-8.502,2.551319168
28.381471,3.571434,-7.139,2.479971285
28.40214,3.390963,-8.184,2.538680725
28.364379,3.373048,-9.079,3.292358012
28.361059,3.537961,-9.853,2.380473362
28.249517,3.580928,-10.934,2.440909656
28.367904,3.480291,-7.285,2.344073256
28.347206,3.619643,-10.061,2.428145776
28.373864,3.546698,-7.774,2.353286314
28.383996,3.617418,-7.702,2.516531679
28.239483,3.565421,-9.334,2.780328652
28.24271,3.556018,-10.377,3.228397779
28.237348,3.56254,-7.96,2.742968192
28.236699,3.56727,-6.273,2.730374597
28.388703,3.615357,-8.216,2.679018694
28.234741,3.539755,-7.905,2.41394903
28.371969,3.617063,-7.966,2.570744029
28.247059,3.603645,-8.391,2.397684924
28.249412,3.566231,-9.849,2.655855662
28.359238,3.400149,-7.645,2.773499366
28.361158,3.608972,-8.92,2.874841959
28.362382,3.534476,-9.998,2.94055869
28.353862,3.39244,-3.906,2.707591612
28.250965,3.599381,-9.927,3.062540001
28.374528,3.611322,-5.595,2.855249339
28.368513,3.618504,-9.527,2.977398858
28.362318,3.46234,-8.003,2.58876816
28.444228,3.361511,-6.619,2.559688839
28.221969,3.57683,-9.775,2.668501173
28.418546,3.586846,-9.389,2.615189031
28.367996,3.598623,-6.205,2.882532689
28.36574,3.609779,-8.826,3.230588617
28.36293,3.609311,-8.619,2.446669934
28.365435,3.610676,-9.484,2.600670167
28.38245,3.564416,-7.816,2.714512899
28.368484,3.396161,-6.725,2.784730289
28.384712,3.605891,-7.761,2.86902519
28.40562,3.418555,-6.441,2.742793233
28.35899,3.620577,-9.608,3.246196924
28.25766,3.544247,-10.222,3.097133507
28.395841,3.613176,-7.042,2.402761111
28.429148,3.569259,-6.539,2.671382284
28.381732,3.43215,-8.141,2.470659379
28.369298,3.358721,-5.516,2.868426451
28.361302,3.394948,-8.304,2.657734778
